pickup_time,rides_pooled_fraction,vehicle_number_reduction,vehicle_miles_reduction,vehicle_time_reduction,pooled_passenger_fraction,avg_fare_amount_pooled,avg_fare_amount_rides,all_rides,pooled_rides,unpooled_rides,pooled_vans
2013-06-05 09:00,0.1654320987654321,0.8138271604938272,0.7741091883519964,0.7859857683328535,0.2778645020293475,9.446994731800766,11.128347292000663,2025,712,1313,335
2013-06-05 09:30,0.14458438287153652,0.834256926952141,0.8127047004783309,0.8203811320144818,0.31271804630510625,9.434160052910052,10.446911224951117,1985,616,1369,287
2013-06-05 10:00,0.1438278595696489,0.8448471121177803,0.8191662372438415,0.836287900129864,0.29891304347826086,9.65822072072072,10.607789327026834,1766,528,1238,254
2013-06-05 10:30,0.1503800217155266,0.8306188925081434,0.8104307021255474,0.8199818957873296,0.2484790265770093,9.88463275935374,10.724003940445014,1842,589,1253,277
2013-06-05 11:00,0.15403274711946635,0.8289872650090965,0.8001488674462369,0.8101384592379942,0.28824833702882485,9.704103455541508,10.987291154282826,1649,536,1113,254
2013-06-05 11:30,0.1348973607038123,0.8457478005865102,0.8014717099768037,0.8122106456196498,0.2723054960742327,8.563188509021842,11.071786160876036,1705,493,1212,230
2013-06-05 12:00,0.1400611620795107,0.8501529051987767,0.814602211513749,0.8205586965025444,0.2876764593666539,8.857239255765199,10.865251530973943,1635,474,1161,229
2013-06-05 12:30,0.14080100125156444,0.8485607008760951,0.8173047570742981,0.8267838224339074,0.32927756653992396,9.14688151354818,10.737197790370839,1598,467,1131,225
2013-06-05 13:00,0.13998703823720027,0.8425145819831497,0.8099140984725784,0.81565324381387,0.3265696784073507,8.87063577586207,10.619207637828694,1543,459,1084,216
2013-06-05 13:30,0.14106395696353854,0.8392109982068141,0.8132224842663137,0.8238924404795925,0.3728148412415269,9.170452158481819,10.346692634007477,1673,505,1168,236
2013-06-05 14:00,0.1445993031358885,0.8403019744483159,0.8138343227292625,0.8221687194583683,0.3920612813370474,9.0971287550833,10.40893076335856,1722,524,1198,249
2013-06-05 14:30,0.16122121049812532,0.8216389930369576,0.7994133789234793,0.8021119948791041,0.2870100421120829,9.603602660199883,10.69758854661932,1867,634,1233,301
2013-06-05 15:00,0.15452653485952134,0.8309053069719042,0.7927686858483981,0.7964951902436141,0.19096079018258005,8.540893470790378,10.512618674686665,1922,622,1300,297
2013-06-05 15:30,0.14311163895486936,0.8420427553444181,0.8165801547705752,0.8091723466409824,0.170355466130114,8.992708333333333,10.861635592940974,1684,507,1177,241
2013-06-05 16:00,0.1256106071179344,0.8590369853454292,0.843315552492631,0.8441349067501752,0.34049452776651806,9.17962570621469,10.313355224261128,1433,382,1051,180
2013-06-05 16:30,0.11949685534591195,0.8710691823899371,0.8470343964639688,0.8515940772353648,0.5066037735849057,8.762261748531435,10.217487343909497,1272,316,956,152
2013-06-05 17:00,0.13553530751708429,0.8502277904328018,0.8247838469317296,0.8286807844587558,0.434913217623498,9.361433262101201,10.794479684547268,1756,501,1255,238
2013-06-05 17:30,0.1440677966101695,0.8394538606403014,0.8121504189121482,0.8139589784735691,0.445157689087357,8.908048861632194,10.373359445802912,2124,647,1477,306
2013-06-05 18:00,0.1490163248221013,0.833821682712432,0.7926457507730248,0.7938152720436166,0.43162074956564905,8.587625434500435,11.035455266821673,2389,753,1636,356
2013-06-05 18:30,0.16395304808784553,0.8152215070049224,0.7708466570908752,0.7718047581206917,0.4280623608017817,8.25098291131945,10.510552803223659,2641,921,1720,433
2013-06-05 19:00,0.16137654527230202,0.817574340126963,0.7879782690574867,0.7843609749145666,0.3846303124393557,8.385428910335252,10.115571341127614,2993,1029,1964,483
2013-06-05 19:30,0.18033333333333335,0.7933333333333333,0.7698807560476761,0.7616944337022353,0.3194253099783507,8.3322768450201,9.530964808425272,3000,1161,1839,541
2013-06-05 20:00,0.1795834755889382,0.797200409696142,0.7772762212937427,0.773576774315105,0.35629268292682925,8.22313263125763,9.034005102272866,2929,1120,1809,526
2013-06-05 20:30,0.17129977460555973,0.8099173553719008,0.7856843008546005,0.7907800794589579,0.399734395750332,8.438447498311792,9.349632531481749,2662,962,1700,456
